l3k1gnl/r1sg2sb1/npp1ppp1p/P2p3p1/L8/2P6/1PSPPPPPP/1BGKG1SR1/1N5NL b p 12	9d9c+
3g1k1nl/3r1sgb1/4pp3/1sNp2ppp/lN7/3PP4/1PSG1PP1P/1BGK1S1R1/1+p5NL w lP4p 27	6b6c
lns4n1/2g4sl/1pp1kbg1p/3ppp3/1PP3PpP/2KPPP2R/2S4S1/+r3G4/1N5NL w Bgl2P2p 39	9h5h
lr3+N+N+L1/1s4G2/1ppp4p/p4kp2/4p4/2P4gB/+rG1PPPP1P/1P1S1KSpL/4G2N1 w bsnl3p 46	9g9e
lrs2gsn1/1P5+Pl/p1nkg1p1p/4pp3/3p5/P1p1P4/1K1P1PPRP/3BG1S2/LN5NL w BgS3P 28	8a8b
Rns3gnl/l3ks1b1/ppgp1pppp/4p4/3s5/2p5P/PPGPPPPP1/1B1KG1SR1/LN5NL b p 15	7g8f
1n2g1sn1/ls1g1k2l/2pr1p1pp/pp1ppb3/P1P2PpPP/4P2S1/BPSP2P2/1KG1G2R1/LN5NL w - 22	4d5c
ln1gk2nb/r5g2/psppGpppl/1p6p/2PP5/9/PPS1PPPPP/1BGK2SR1/LN5NL b SP 16	S*1b
1n2g1snb/ls1g1k2l/p1pr1p1pp/1p1pp4/P1P3pPP/4PP3/BPSP2P2/1KG1G1SR1/LN5NL w - 19	1a3c
lns1G+B3/4r4/pppk1G1pp/3pppp2/7n1/2P2PP2/PPSPP3P/2G2K3/LN6+b w rg2SnLlP 31	R*3h
lns1kg1nl/r2g2sb1/1pppppppp/p8/9/2P6/PPSPPPPPP/1BGK3R1/LN3GSNL b - 6	4i5h
ln2k2n1/rsg4sl/1pp1pbg1p/p2p1ppp1/2P6/7P1/PPSPPPP1P/1KG1G1SR1/LN5NL w B 17	5a5b
lr3+N+N+L1/1s4G2/1ppp4p/p4kp2/+r3p4/2P4gB/1G1PPPP1P/1P1SGKSpL/7N1 w bsnl3p 47	L*1d
lns1k2nl/1rg3bs1/ppp1ppgpp/3p2p2/9/2PS5/PP1PPPPPP/2G4R1/LN2KGSNL w B 9	4c4d
ln5n1/rsg1k2sl/1pp2bg1p/p2ppppp1/2P6/1P1PP1PP1/P1S2P2P/1KG1G1SR1/LN5NL w B 21	5b5c
1nsg1gsnb/l2r4l/p1p1kp1pp/1p1pp1p2/2P6/P8/BPSPPPPPP/2G1G1SR1/LNK4NL w - 11	7a8b
7n1/+b3k2sl/2g1rp2p/3ppLBp1/1l6P/1PP6/1KSP2P2/3G5/7N+n w r2gSsnl8p 58	N*9e
l1s2gsn1/1r5+Pl/pPnkg1p1p/4pp3/3p5/P1p1P4/1K1P1PPRP/3BG1S2/LN5NL w BgS2Pp 29	8b8c
lns4n1/2g4sl/1pp1kbg1p/r2ppppp1/1PP6/p2PP1PR1/1GS2P1SP/1K2G4/LN5NL w BPp 28	9d9b
lns1k1s1l/1r4g2/ppp1p1npp/3pgp3/6B2/2P2P1P1/PPSPP1P1P/2GKG2R1/LN4SNL w bP 11	3b4c
1+b2g2n1/4P1ksl/2grbL2p/3ppp1p1/6S1P/2P6/1KSP1RP2/3G5/7N+n w gSnLl8p 48	8a9b
lns3s+B1/1r1k5/ppp1p2pp/3pgpp2/7n1/2P2PP2/PPSPP3P/2GKG1Sl1/LN5N+b w rGLP 20	2h2i+
6gnl/2sg1ksb1/+Rpplppp1p/3p3p1/9/2P6/1PSPPPPPP/1BGKG1SR1/1N5NL b NL2p 16	L*9b
lns1gg1nl/1r3k1s1/1ppppp2p/p8/5B1p1/2P6/PP1PPPP1P/2GSG1SR1/LN2K2NL w bPp 11	B*4d
ln1g1k1nl/1r3sgb1/4pp1p1/ps1p2p1p/1pP4P1/P2PP4/BPSG1PP1P/2GK1S1R1/LN5NL w P 15	9d9e
lns1k1s1l/1r4g2/pppgppnpp/3p5/6p2/2P2B1P1/PPSPPPP1P/2GKG2R1/LN4SNL w b 9	6c5d
+L3g1gnl/1+Ns2ksb1/+Rpplppp1p/3p3p1/9/2P6/1PSPPPPPP/1BGKG1SR1/1N5NL b 2p 20	8b7b
ln1g5/2sk2sbl/p1pp1pn1p/r4gpR1/1p7/2PP5/PPS1PPPSP/1BGKG4/LN5NL w 2Pp 26	P*2c
ln1g5/2sk4+B/p2p1p1p1/1rp3p2/Pp2n4/2PPS3P/1PS1P4/1B2K1+n2/LNG3+r1L w GgsLP4p 51	S*6i
ln1g5/2sk4+B/p2p1p1p1/1rp3p2/Pp7/2PP4P/1PS1P4/1BGKG1+n+r1/LN4P1L w gSsnLP3p 47	2h3i
3g1k1nl/5sgb1/3rpp1P1/1sNp2ppp/lN7/3PP4/1PSG1PP1P/1BGK1S1R1/1+p5NL w l4p 28	3b2c
3g1k1nl/1+N3s1b1/2r1pp1g1/1s1p2ppp/l8/3PP4/1PSG1PP1P/1BGK1S1R1/1+p5NL w nl5p 30	L*2e
lns1k1snl/r1g3gb1/pp1pppppp/2p6/9/2P4P1/PPSPPPP1P/1B4SR1/LN1GKG1NL b - 6	2f2e
ln1gk2n+S/r5g2/p1ppGpppl/1p6p/2sP5/9/PPS1PPPPP/1BGK2SR1/LN5NL b BPp 18	P*7f
1nsgg1snb/l4k2l/p1pr1p1pp/1p1pp1p2/P1P5P/5P3/BPSPP1PP1/1KG1G1SR1/LN5NL w - 16	3d3e
lnsg2snb/1r2kg2l/pppp1ppp1/4p3p/9/2P6/PPSPPPPPP/1BGKG2R1/LN4SNL b - 7	6g6f
3g1k1nl/5s1b1/2+Nrpp1g1/1sNp2ppp/l8/3PP4/1PSG1PP1P/1BGK1S1R1/1+p5NL w l5p 29	6c7c
lns1kgs1l/1r2g4/ppp1ppnpp/3p2p2/9/2P4P1/PP1PPPP1P/1SG1G2R1/LN2K1SNL w Bb 6	4a3b
l6nl/6gk1/4ppsp1/1r1s1b2p/ppP6/2R1GP1P1/PP2P1P1P/LSG3S1L/K6N1 w bGNn4P 35	B*5d
lnsg1gsnl/2r1k2b1/p1p3ppp/1p1ppp3/9/P1P6/1PSPPPPPP/1BGKG1SR1/LN5NL w - 8	2c2d
ln1gk2nl/1r1s2gs1/2p1pp1pp/3p2p2/pp7/2P2P1P1/PPSPP1P1P/1KG3SR1/LN3G1NL w Bb 11	1c1d
1+b2gk1n1/7sl/2grb3p/3ppp1p1/6S1P/2P6/1KSP1RPn1/3G5/7NL w gSn2LP8p 46	2g1i+
2+R3gnl/l1S2s1b1/ppn1kpppp/2ppp4/9/1G4P1P/PP1PPP1P1/1B1KG1SR1/L6NL b GsnP 24	G*6c
ln1gk2+S1/1r4g2/p1p1Gpppl/1p1p4p/3P5/2S6/PP2PPPPP/1BGK2SR1/LN5NL b BSN2p 21	N*2e
ln1gk2n+S/r5g2/p1ppGpppl/1p6p/3P5/2s6/PPS1PPPPP/1BGK2SR1/LN5NL b B2p 19	7g7f
ln1g4s/2sk4l/p2p1pnp1/1rp3p2/Pp2BP3/2PP4P/1PS1P1PS1/1BGKG4/LN5+rL w gn3P 42	3c4e
7n1/+b3k2sl/2grGs2p/3ppR1p1/1l6P/1PP6/1KSP2P2/3G5/7N+n w BgsnLl9p 55	6c5c
lns4n1/2g4sl/rpp1kbg1p/3ppppp1/1PP4PP/p2PPPPR1/1GS4S1/1K2G4/LN5NL w Bp 32	3d3e
ln1g4b/2sk2s1l/p2p1pnpp/r1p3p2/Pp3g3/2PPR4/1PS1PPPSP/1BGKG4/LN5NL w 2P 33	9d8d
ln1g5/2sk4+B/p2p1p1p1/1rp3p2/Pp7/2PP4P/1PS1PS3/1BGKG1+n2/LN4+r1L w gsnLP4p 48	N*5e
1+L2gksn1/3g4l/1sprbp1pp/3pp4/2+b2PpPP/2P1P2S1/1GSP1NP2/1K2G1R2/1N5NL w LP3p 31	7e7d
l6nl/6gk1/4ppsp1/1r2bb2p/ppPG5/2R2P1P1/PP2P1P1P/LSG3S1L/K6N1 w GSNn3Pp 37	5d6e
lr3+N+N+L1/1s4G2/1ppp4p/p4kp2/4p4/2P4gB/+r2PPPP1P/1PGS1KS1L/4G2N1 w bsnl4p 45	P*2h
ln3k1n1/rsg4sl/1pp1pbg1p/p2p1ppp1/2P6/4P1PP1/PPSP1P2P/1KG1G1SR1/LN5NL w B 19	5c5d
lns2gsnl/2rg3b1/p1pk2p1p/1p1ppp1p1/2B6/P1P6/1PSPPPPPP/2G1G1SR1/LNK4NL w - 11	7b8b
lrs2g2k/4g4/1ppp1+NpNp/p6L1/4p2B1/2P4P1/PP1PPPP1P/2GSGKS1L/1N1+r3N1 w bsl2P 34	1a2b
ln1g1k1nl/1r3sgb1/4pp1p1/1sPp2p1p/pp5P1/P2PP4/BPSG1PP1P/2GK1S1R1/LN5NL w P 16	8b6b
3g1k1nl/1+N3s3/2+L1pp1g1/1s1p2pbp/l6p1/3PP4/1PSG1PP1P/1BG1R+r3/1+p1K3NL w sn5p 37	4h4i
lns1k1gnl/r2g2sb1/1pppppppp/p8/9/2P6/PPSPPPPPP/1BGKG2R1/LN4SNL b - 7	3i3h
ln1g4b/2sk2s1l/p2p1pnpp/1rp3p2/Pp3g3/2PP4R/1PS1PPPSP/1BGKG4/LN5NL w 2P 34	1c1d
ln5n1/rsg4sl/1pp1kbg1p/p2pppp2/2P4R1/1P1PP1P2/P1S2P2P/1KG1G1S2/LN5NL w BPp 23	P*2d
ln1gk2nb/r1s2sg1l/p1pp1ppp1/1p2G3p/9/2PP5/PPS1PPPPP/1BGK2SR1/LN5NL b P 13	7f7e
ln1g3n1/2sk2sbl/p1ppgp1pp/1r4p2/1p7/2PP3R1/PPS1PPPSP/1BGKG4/LN5NL w 2P 18	2a3c
ln1g5/2sk2sbl/p2p1pnpp/r1p2gpP1/1p7/2PP3R1/PPS1PPPSP/1BGKG4/LN5NL w P 28	2c2d
lrs2+N+N+L1/6G2/1ppp4p/p4kp2/4p1g2/2P4PB/PP1PPPP1P/3S1KS1L/1+r2G2N1 w bGsnl2P 41	3e2f
1ns3gnl/l2gks1b1/pp1p1pppp/2r1p4/9/9/PPSPPPPPP/1BGKG1SR1/LN5NL b Pp 10	1g1f
lns1G1+B2/1r2S4/pppk3pp/3pppp2/7n1/2P2PP2/PPSPP3P/2GKG1+l2/LN6+b w rGsnlP 26	8b5b
1+L2gksn1/3g4l/1sprbp1pp/2+bpp4/2L2PpPP/2P1P2S1/1GSP1NP2/1K2G1R2/1N5NL w P3p 32	7d5f
ln2k2nl/1r1g2g2/2psppsp1/3p4p/pp7/2P1BP1P1/PPSPPSP1P/1KG4R1/LN3G1NL w bP 15	7c7d
l3k1gnl/2sg2sb1/rpp1ppp1p/3p3p1/L8/2P6/1PSPPPPPP/1BGKG1SR1/1N5NL b N2p 13	9e9c
ln1g3Gb/2sk3sl/p2p1pnp1/1rp3p2/Pp3P3/2PP4P/1PS1P1PS1/1BGKG4/LN3r1NL w 3P 40	4i2i+
lns2gsnl/1r1g3b1/p1pk2p1p/1p1ppp1p1/9/P1PB5/1PSPPPPPP/2G1G1SR1/LNK4NL w - 12	6b5c
1n2g1sn1/+Ls1g1k2l/2prbp1pp/3pp4/2P2PpPP/1p2P2S1/1PSP2P2/1KG1G2R1/1N5NL w bLPp 26	8b8c
lnsgkg1nl/1r5s1/p1pppp1pp/6p2/1p7/2P4P1/PPSPPPP1P/6SR1/LN1GKG1NL w Bb 6	7a6b
lrs2g1nl/4g2k1/1pp1pp2p/p8/7p1/2P4l1/PP1PPPPPP/2GSG1S1R/1N2K2NL w BbSn2p 19	B*5d
1+L2g1sn1/3g1k2l/1sprbp1pp/3pp4/2P2PpPP/1p2P2S1/1PSP2P2/1KG1G2R1/1N5NL w bNLPp 27	8f8g
5S1n1/+b3g2sl/2grbk2p/3ppS1p1/8P/2P2R3/1KSP2P2/3G5/7N+n w gnL2lP9p 51	5c4d
lrs2gsn1/7bl/p1nkg1p1p/4pp1P1/1p1p5/PPS1P4/3P1PPRP/1KGBG1S2/LN5NL w 3P 23	8e8f
l6nl/6gk1/2nsppsp1/1r6p/ppPpg4/4BP1P1/PPNGP1P1P/LSGR2S1L/K6N1 w b2Pp 30	5e5f
lns1k2nl/r1g2sgb1/pp1pppp1p/2p4p1/9/2P6/PPSPPPP1P/1B4SR1/LN1GKG1NL b p 8	2h2d
ln1g3n1/1rsk2sbl/p1ppgpppp/1p7/9/2PPR4/PPS1PPP1P/1BGKG1S2/LN5NL w 2P 15	8d8e
lns1ggsnl/3rk2+B1/1ppppp2p/p5pp1/9/2P4P1/PP1PPPP1P/2GSG1SR1/LN2K2NL w B 7	3a2b
ln1gg1sn1/1rsk3bl/p1pp1pppp/1p2p4/9/2PP5/PPS1PPPPP/1BGKG2R1/LN4SNL w - 7	2c2d
1n2g1sn1/1s1g1k2l/2prbp1pp/L2pp4/1pP2PpPP/1B2P2S1/1PSP2P2/1KG1G2R1/1N5NL w LPp 25	8e8f
lns1k1s1l/1r4g2/pppgppnpp/3p2p2/9/2P4P1/PPSPPPP1P/2GKG2R1/LN4SNL w Bb 8	3d3e
lns1k2nl/1rg2g1s1/ppp1pp1pp/3p2p2/4B4/2P6/PP1PPPPPP/2GS3R1/LN2KGSNL w b 6	B*3c
l1s1k1gnl/r2g2sb1/npp1ppppp/3p5/p8/2P6/1PSPPPPPP/1BGKG1SR1/LN5NL b p 10	9i9e
R1s3gnl/l3ks1b1/ppnp1pppp/4p4/9/1G6P/PP1PPPPP1/1B1KG1SR1/L6NL b GSnPp 19	9a7a+
lns1G1+B2/1rk6/ppp1p2pp/3pgpp2/7n1/2P1LPP2/PPSPP3P/2GKG1S+l1/LN6+b w rSnP 23	2h3h
1n1g1gsnb/ls6l/p1prkp1pp/1p1pp1p2/P1P6/9/BPSPPPPPP/1KG1G1SR1/LN5NL w - 13	5c4b
lns3s1+B/1r1k5/ppp1p2pp/3pgpp2/7n1/2P2PP2/PPSPP3P/2GKG1S2/LN5N+b w rGLlP 19	L*2h
l1s1k1gnl/r2g2sb1/npppppppp/p8/9/2P6/PPSPPPPPP/1BGKG1SR1/LN5NL b - 8	9g9f
lns1gg1nl/1r3k1s1/1ppppp1Pp/p4b3/5B1p1/2P6/PP1PPPP1P/2GSG1SR1/LN2K2NL w p 12	4d9i+
lrs2g1nl/4gk1+b1/1pp1pp2p/p5N2/7p1/2P4l1/PP1PPPP1P/2GSG1S1R/1N2K2NL w bSP2p 17	4b3c
l6nl/6gk1/4ppsp1/1+S3b2p/1pP6/2b2P1P1/LP2P1P1P/1g1K2S1L/7N1 w RrGgsNn4P2p 45	R*5h
1n1g1gsnb/ls3k2l/p1pr1p1pp/1p1pp1p2/P1P6/8P/BPSPPPPP1/1KG1G1SR1/LN5NL w - 14	8b7a
ln5n1/rsg4sl/1pp1kbg1p/p2ppppp1/2P6/1P1PP1PR1/P1S2P2P/1KG1G1S2/LN5NL w BP 24	9d9e
ln5+S1/2rk2g2/p1p2pppl/1p6p/3p3N1/2S6/PP2PPPPP/1BGK2SR1/LN5NL b BGgs3p 25	2e1c+
3g1k1nl/1+N3s1b1/2r1pp1g1/1s1p2p1p/l6p1/2LPP4/1PSG1PP1P/1BGK1S3/1+p5NL w rn5p 32	P*7e
1ns2g1nl/l1rgks1b1/pppp1pppp/4p4/9/2P6/PPSPPPPPP/1BG1G1SR1/LN2K2NL b - 7	5i6h
l1s2gsn1/7+Pl/p2kg1p1p/2r1pp3/1K1p5/P3P4/3P1PPRP/3BG1S2/LN5NL w BgSN2P3p 34	G*7e
